TIP #1,TIP #2,TIP #3,Anything else you want to mention? [this can be more TIPS if you are overflowing with advice],Year
"Spend time reaching out to folks you know asking if they can put you in touch with someone. Your network is bigger than you think, and people will be eager to help!","You will not be able to learn everything in complete detail, and you will not be expected to. Focus on mastering the basics, especially over the summer. Later, prioritize the subjects you are most interested in. ","Especially for those right out of undergrad, sign up for any career interest list that could remotely interest you, even if it is not a dream job. The search is harder for those without work experience, so give yourself every opportunity you can. ","Imposter syndrome will be addressed a lot, because it's a huge thing in this expansive and difficult field. At some point, you will likely feel like you understand nothing, even after studying for months. For me, it was comforting to realize that most other students/practitioners barely understand the concepts themselves. To some degree, you will have to fake it 'til you make it, and that is okay. ",2021
"Grades are not your ultimate goal. Learning is. As long as you are passing the courses, grades are only useful as feedback. Thus, focus your efforts on what you want and need to learn. Unfamiliar with R? Challenge yourself to build a dashboard. Never used Python? Use an API to build datasets and construct models. Are you usually quiet in team settings? Make it a point to give three opinions each meeting. ","The program is demanding, especially during the second module of fall semester. I averaged around 65 hours/week that module as a homework team lead, and I easily could have worked more had I not had young kids. However, much of the work is stuff you should want to do. The super-busy times will fly by. This program is over before you know it. Embrace the challenge, and know that the hard parts are very temporary.","As you move through the program, think about what sets you apart as an individual. Sure, you probably like coding, math, and statistics, but where do your other interests lie? Develop your skillset by applying programming and analytics toward those interests. Any topic out there has a number of questions that can be addressed with analytics. Scope out a side project surrounding that topic, and tackle it. It can take as little as 3 weeks or as long as 6 months. In any case, it's a great opportunity to learn, and you will be able to reference your work during job interviews.",,2021
Make to do lists to keep yourself organized and make sure you don't forget an assignment,Make goals for yourself at the beginning of each module based on past feedback; use the coaching sessions to help form and evaluate your goals,Make condensed review sheets after each module for each class -- it will be much easier to review for interviews if you only have one page of condensed notes for each class rather than the whole module's worth of material,Take advantage of peer interviewing with friends or your practicum team members,2021
"When a team member (hw or practicum) does something you like/don’t like, immediately  write it down as part of their feedback, it makes giving it later so much easier.",Grind and push yourself but be sure why you’re doing what you’re doing,Try to understand how you receive feedback as soon as you can,,2021
Ask for help! ,"Create an organizational system and naming convention system for files, especially notes and worksheets if you’re taking notes digitally",There will be days where you feel like you’re doing everything wrong,,2021
Do NOT be afraid to ask tough questions to the staff/faculty - it will be worth it and it’s probably something people haven’t really thought about,Take time to write your impressions of the AIPs - it’ll help with IDing which places you’re actually interested in later,,,2021
Take time over break to relax and spend time with loved ones.,Practice interview stuff with other students,,,2021
"Don’t look at who else is interviewing for jobs internally, focus on you","Go outside every day, even if it’s for a walk","Use Notion or OneNote for online note taking. At least try notion if you’re using evernote, it has everything evernote has and way more and does what evernote does better",,2021
Support your teammates and friends when they get a job and they’ll support you,,,,2021
"Participate whenever you can. You’re in great hands; faculty and staff know what they’re doing so take advantage of every opportunity thrown at you. Go to all the optional lectures and classes if you can, really sit and talk with the coaches, go to office hours if you need to, learn from the communications team, get all the certifications you can, learn from each other, and do the work to the best of your ability. You never know what you’ll learn, you never know what will be useful, and (when it’s all over) you won’t have regrets from not participating and connecting with your classmates. ","If classes are online, setup a separate space at your place where you can do your work if you can. Get everything ready and make a checklist of everything you need to do. For example, organize files on your computer, get an external monitor, use your google calendar, have office supplies that you think you’ll need ready, bookmark your online Moodle pages for quick easy access, etc. A lot of good information will be thrown at you and you’ll want to reference that information easily so stay organized. Don’t get behind on organizing your notes and class material, just start disciplining yourself to do it now.","This program is a fantastic opportunity. It’s not just an opportunity to learn a lot about the data science and analytics, it’s also an opportunity to learn and develop a lot of soft skills. Don’t just rely on the faculty and staff, as well as your classmates, to teach you things; you also need to be self-reliant. Nothing worthwhile is handed to you; you have to work for it. So, take this time to understand, challenge, and develop yourself. Think about your likes and dislikes, the type of people you want to work with and the type of person you want to be. And then work towards that. And when there are frustrations and issues that come along (with your classmates, the work load, or course material), DO NOT be quick to complain; instead, challenge yourself to find a silver lining. ","Sometimes things are better in foresight, than they are in hindsight so really sit down and actually read these TIPS. It's a list of all the advice from past students of the program, students who went through the journey you're about to embark. These TIPS will help you understand what's to come and make the most of it. Good luck and trust the process! ",2021
Be open to who you will get for your practicum sponsor. A smaller company may provide a project that will expose you to more data science work. ,,,,2021
"In prep for each quiz, start creating a 'cheat sheet' to summarize major concepts. By the time you get to the exam, interviews, or need to reference material, it's all in 1 place and you don't have to dig through lecture videos or slides.","There is seriously no competition-- everyone is coming from such different backgrounds and some will obviously know much more than you when you are starting out. Allow yourself to start where you are at and really dig into what you are truly interested in.  Everyone is on their own journey with data science, so just find your own.","Reach out to alumni to make connections early-- mainly to just see what you could be interested in working in. It's just as valuable to discover an industry is not for you. Also, these connections can turn into mentorship! ",Your classmates aren't scary people! Really get to know them and build a good support system of peers-- they understand more than anyone else! ,2021
The program is hard and intense but you will also meet some of the best/unique people. Don't forget to enjoy it too! ,,,,2021
Don't get hung up on grades.,,,,2020
Take the time to get to know the IAA faculty. They are some of the most awesome people you will ever meet! ,Use the slower pace at the beginning of each module to get ahead of the game. You will thank yourself later. ,"If you can, work on a side project involving something that excites you. This makes a great talking point during interviews. ",,2020
"Don't look at networking as simply a way to get a job. You will meet so many alumni and professionals who are happy to speak with you. People love talking about themselves, so striking a good conversation isn't that hard if you're genuinely interested in what they do or how they got there. If someone has an interesting experience or background that you want to learn more about, then just reach out and ask for a phone call or email discussion. Try to have at least a few discussions after info sessions. They are a huge help regardless of whether you pursue a career where that person works! The same applies to our faculty and staff -- just about everyone who comes to the IAA is awesome and you'll have a great time talking to them and learning from them if you make an effort.","Don't be afraid to ask questions. It's a habit that you can reinforce with practice and feel more comfortable about with time. Ask questions in class if you feel comfortable, but especially ask questions with your practicum team and homework teams. Even having one person on a team who asks questions can make a huge impact and make others feel comfortable about asking questions, too. Almost every scenario of 5 people will have someone who seems like they completely understand everything, someone who is fairly lost, and someone who is right in the middle -- so don't feel alone if you don't understand something. The best way for everyone to learn is to feel comfortable admitting these things and then discuss your thoughts. The best part is that it typically helps other people realize things they thought they understood but didn't -- so it helps everyone. ",,,2020
"The first floor bathrooms have a side room in them with showers and an extra sink, mirror, and outlet. You can use this room before info sessions to freshen up hair, makeup, etc. if you want to without dealing with the huge line!","Try planning a weekly get-together with a friend or friends in the program. It will give you something to look forward to and a way to de-stress. Lots of people worked out together or took fitness classes at the gym, which is a lot of fun. You could plan a weekly dinner out to eat or cook together. If you don't have close friends, just ask people in the Slack channel. Especially in the summer and fall, the days are a lot more structured so it's the perfect time to add fun to your routine.",,,2020
"Ask for help. You're surrounded by some incredibly smart people, both faculty and students, who want to help you! Take advantage of that.","Meal prep on the weekends. You likely won't have a lot of time during the fall to cook, so make sure to set aside time to make meals in advance!","Take time to get to know people. This is (probably) the last time you'll be in school, so enjoy spending time with these people! You could form some lifelong friendships.",,2020
"Take advantage of breaks- use the extra time you might have during breaks (between Summer and Fall 1 terms, Thanksgiving break, Winter break) to learn and show off your skills. Study for a certification, complete a small side project, or write a blog post. These things will help set you apart when interviews roll around.","If there is something that you want to do or a topic that you want to cover that's not in the curriculum, don't hesitate to talk to a staff or faculty member about it. The incredible staff and faculty will do their best to coordinate something or set you up with resources.","Try to think about and write your peer feedback before the feedback window opens. That way, you can copy and paste instead of rushing to write feedback for eight or nine people at one time.","Don't make a mess in the kitchen, especially in the microwave. If you do make a mess, clean it up or you will be publicly shamed.",2020
"At the beginning of the year, place a couple sets of tupperware into your locker. Will come in handy for employer info sessions (and you'll never remember to bring tupperware on the day of!!!)",The beauty of this program is the alumni network. Learn how to network asap and start making meaningful connections. (Don't hit up every alum with the same copy/pasted message),"Have fun and all, but you have to make sacrifices. This is only a 10-month program and it's the most valuable time you can get. Really lean in and focus-- you should be spending most of your time on IAA work. Do other things to prevent yourself from burning out, but focus on the IAA.","Grades really don't matter-- what does matter is being a good teammate and getting a real understanding of the work you're doing. As long as you focus on those things, you will come out of the program in great shape for a successful career in data science.

The faculty and staff at this program are amongst the best you'll ever meet in your academic career. They are all incredibly knowledgable and amazing people-- get to know them. Learn from them. Ask questions.

ASK QUESTIONS-- to your classmates, to professors, and to alumni. You will learn so so much.",2020
"Do things outside of the IAA with your classmates (sports, family dinners, book club, harry potter movie nights). ",,,,2020
"Create an individual project work portfolio in the spring, especially if you don't have work experience. This showcases your abilities as a data professional better than anything else and gets you noticed by more external companies.",Start learning R and Python on your own in the summer. Do personal projects (either on DataCamp or on your own). ,"Be kind to your classmates. They will be your greatest network and chance for referrals in the future, and you might even work with several of them right after graduation. ","It goes by fast, so try to sprinkle some fun in here and there. ",2020
Ask the faculty for help when needed especially during the summer practicum as they can offer lots of insight.,Be a good teammate. The people you meet in this program are important and could one day be the reason you get a job. A good impression is a must.,,,2020
Focus on the fundamentals and master the foundations and main ideas of each topic,Take care of your mental health and physical health; take time to exercise and relax,In class and meetings be engaged ,,2020
"Understand that you as a person and your work are two separate things. When you get criticism (which you will) you need to understand that it's your work that's being criticized. Not your character, intellgence, or personality. ","No one in the program is doing everything right. A majority of your classmates are ""achiever"" types, and tend to go a little crazy when put in a group of 100 other achievers. You are going to have a bad time if you constantly compare yourself to others here. Know what you want, and don't feel pressured to overreach yourself just because everyone else is. ","Do not pretend to be good at everything in an interview. Take an honest look at your strenghts and weaknesses. The feedback you get will help with this. Companies want to hire someone who is confident, which means you are secure in what you can do AND what you can't do.",,2020
"The summer practicum project is not the end of the world, don't over stress on it. It is a gateway into how to use analytics in a business setting, you are not expected to know everything!","At some point (beginning of the spring semester is a good time), work on a small side project outside of datacamp. It can be a project ranging from a few hours to multiple days, but having experience on something that you work on from start to finish is helpful (and easy) to talk about during interviews.","The Fall is super busy, especially Fall 2 and Fall 3. Find something to do outside of the IAA to take your mind off of school work. I enjoyed playing IM sports and I always looked forward to the upcoming game days. You will be surprised at how many other people in the program have similar interests.",,2020
"If your practicum sponsor is a place you'd like to work after graduation, make an effort to express you are interested in working there after graduation outside of practicum meetings. Something as simple as a quick phone call to learn more about the sponsor's job could help differentiate you (beyond your technical practicum work), especially for very popular companies. ","For team leads out there, it really helped me to have a group of my fellow female team leads to talk about struggles and strategies. It was really great for me to have that support network with similar people who were undertaking a like challenge. ",,,2020
"Figure out your support system early! Remind yourself that you are smart, capable, and try to go easy on yourself if it is hard for you to pick up a certain topic or project. Your peers are a valuable resource both for knowledge and for emotional support during the program.","This program is meant to challenge you so embrace the struggle!! You can do it, and don't give up! Your best breakthroughs can happen after you take a break and come back to the material or your code. ",,,2020
Network and stay in touch with companies you are interested in after their information session,Don't be afraid to reach out to an employer before they come on campus for interviews,,,2020
Get to know your classmates and professors because they are the ones that make this program so enjoyable. There will be very challenging times throughout your 10 months but having support from your classmates and faculty will make it so much better and more manageable!,Do not be intimidated by learning a new programming language. Everyone had to learn a new language at one point in time so learn what you can and use documentation/advice from classmates to enhance your skills.,Find a way to de-stress from school. Your mental health is so important and you will need to take time for yourself!,,2020
"It is okay, even encouraged, to try and then fail. It is not okay to never try.",When a car is on empty you fill it up. Same concept in the program. When you run out of motivation stop working and do something you love. ,,,2020
Find a core group of people you relate to and get along with. I found mine through Intramural sports and roommates. ,"The faculty are incredible. Get to know them as friends. It makes the process much more enjoyable. Oh yea, trust the process. Legit. ",Have fun. I would do the program again if I could. ,,2020
Focus on the programming language(s) that you are weakest in when doing homework,Play intramural sports with your classmates,"Put in a lot of time and effort into getting a job. It takes a lot of work, but you'll be fine if you listen to April.",,2020
"Do not compare yourself to other people in the program! This may seem impossible but everyone comes in with different skill sets, experiences, and backgrounds. Focus on making the most of YOUR experience, learning as much as you can, and working hard.","Make time for yourself. This program is very time consuming and if you do not make time to do the things you enjoy, you will not have time. The work will always be there; do not burn yourself out doing work 24/7. ","Rely on your teammates and fellow classmates! Everyone in the program is learning the same concepts and materials; use each other to study, do homework, review material, etc. This will help so much in the long term. You are truly part of a team at the Institute. ",,2020
"Use the resources available! In addition to the course material, books, and faculty, your peers are fantastic sources of knowledge. The Institute brings together students from a diversity of backgrounds, and everyone has something valuable to offer. Don't be afraid to reach out and find those you are comfortable turning to in difficult times.","Focus on one thing at a time. Prioritizing is a key to success at the Institute, and while you will have much to do at the same time, taking it one step at a time and putting your all into what is in front of you will help you be more efficient and provide the highest quality work. It will seem overwhelming at times, but this approach will help the demands seem more manageable.","Enjoy the process! You will be told countless times to ""Trust the Process"", but it is also important to appreciate the experience. You will be surrounded by amazing, talented people. Do your best to take time for recreational activities, meet and develop relationships with your peers, and have fun! This will be one of the most memorable experiences of your life, and it should be shared with others going through the same thing. It is very possible you will form some of your best lifelong friendships.",,2020
"The days are long, but the year is short.","Practicum advice: Hard team conversations are just that - hard. However, try to have these as soon as possible when issues come up instead of waiting for wounds to fester.","You will be surprised how easily you will begin to live off of your Google Calendar. Make sure to start putting all events on there (including non-academic related events). If there isn't an event on your calendar, you are more likely to forget about it.","It's very easy to get sucked into homework teams, the practicum, and the job search. Make sure that you don't say no to all social gatherings. You won't be around this many great people again in your life.",2020
"Divest yourself of distraction in class. Put the phone down. Have only material on your computer that is for the lecture you are in. Don't work on assignments. There is a wealth of knowledge to gain, but only if you are ready to receive it.","Take the time to decide what it means for you to Trust the Process. For some, that is following without question. For some, that is asking questions to better understand why they should follow. Figure out what it means, then Trust the Process.","Even though they seem to be superhuman, keep in mind that your professors and the staff at the IAA are human. They work extremely hard to make this process a success every year. Appreciate that, appreciate them, and understand that their every action is intended for your benefit.","Make time for yourself. There is a lot to learn, there is a lot of work, and this will be difficult...but take time to love the things that you love. Play board games, go shoot hoops, go see a play. You will do better as your best self.",2020
"Get comfortable with being uncomfortable. You are not going to know everything or feel like you have a great handle on everything and that is okay. Don't let it wear you down, it will all come with time and effort.","Know that there are going to be amazing days of progress and very trying days that feel defeating. Don't lose sight of the end goal or why you are doing this in the first place and know that in order to grow, you must first be torn down some.","No pressure, no diamonds. This program is hard, no doubt about it, but it is also arguably the most rewarding experience I have ever gone through and worth every hour of sweat and pain. Everyone in it is here to support you.",,2020
"Realize that as you go through this program, you are training and working the learning muscle. It will get stronger and faster as each month goes by so stay calm and know that it will continue to get easier to learn and retain as you go.","It is a good idea to think through the fall and spring in the summer. Get a handle on life outside of school such as knocking out dentist appointments, car inspections/oil changes, doctor's appointments and other items ahead of time as you will likely not be able to easily schedule these during the fall semester.","Invest in at least two (ideally three) full sets of business formal wear. As the fall semester moves along, there are sometimes three employer information sessions in a week in addition to presentations, all of which require business formal attire. Some practicum sponsor meetings may also require this level of dress so it is a good idea to have a few full outfits to rotate through. This is also a requirement for interviews so go ahead and invest in decent formal attire, get it tailored, and be ready to hit the ground running.",,2020
"Try not to lose your sense of humor about things. You are going to be tested, even be tempted to go to some dark places throughout this program. Allow yourself to feel it, get through it, and then move on. Take advantage of the on-site counselor as well if you need help at any time.","It doesn't always feel like there are a lot of explicit ""wins"" throughout the program however they are there. Look for them and celebrate them yourself. Remember the questions you were asking just a few weeks ago and compare that to where you are now. Keep a healthy perspective on things.","Do not be afraid to use google, stackoverflow, github etc. to learn things. Take the lesson materials as the main methodologies for teaching but know that you may have to go outside of them for understanding of certain things. This is a new, cutting edge field and it is impossible for the lessons to have everything you would ever need to know.","Do not let ego or fear get in the way of speaking up. Go ahead and be wrong, ask 'dumb' questions and put yourself out there. No one here is going to judge you as long as you are making an effort. It is likely that they are also feeling something similar as well even if it doesn't seem that way.",2020
Buy one of the cheap Tableau courses (udemy etc.) prior to the Tableau certification and plan to have everything you want on your resume by December (you will likely begin applying before the new year). I had a fair amount of experience with Tableau and still found these courses to be invaluable in getting certified.,Determine your own organizational system method (I highly highly recommend OneNote from the beginning). The program moves at lightning speed so one key to not falling behind is to be organized. Allow the tools at your disposal to work for you rather than against you. It will be invaluable as you go through the program and you should not waste time fighting your own methods.,"Stay healthy. Get sleep, eat decently, and try to practice self-care as much as possible. This can be very difficult in the most stressful parts of the program but getting sick will just make things that much more difficult.",,2020
Learn to use Git in your practicum.  It will be required in your job.,"Work smart, not hard.","The best way to learn is to teach your classmates and let them teach you.
Talk to your professors.",,2020
"When job season rolls around, let others volunteer to you who they've heard back from, because asking if people have received an offer or heard news yet puts them in a vulnerable position. Let people share what they are comfortable with. ","The best part of the MSA is the people. Attend optional and student led social events (yes, even on zoom) and get to know as many people as you can, they will be your support and you will be theirs. ","You get out what you put in, whether that's doing a part of the hw you weren't assigned so you can brush up your skills, or trying out a method learned in class that didn't have a formal assignment. If you have the time and mental energy to go the extra mile here and there, it's worth it. ",,2020
Take detailed notes in information sessions and reach out on Linkedin / by email to the employers your are really interested in. Utilize the alumni network!,Be aware of the amount of space you take up when asking questions in information sessions or networking afterwords. Make sure that you don't mansplain or ask a question before someone who has been waiting longer- it's a bad look. ,"As a woman team lead, having a support group of fellow women team leads was instrumental in boosting my confidence and overcoming imposter syndrome. Talking through the highs and lows of leadership with people going through similar experiences helped me immensely. ",,2020
"The program is not easy, but it does END! Give it your all while you are in it, and it will be 100% worth the hard work. Trust the process, faculty, and your peers.","Utilize LinkedIn and the alumni network! Making connections and speaking out during employer information sessions is not the most important, but being active and touching base after absolutely is.","RESPECT YOUR PEERS. Do not undermine anyone for their background or amount of work experience. Everyone brings something valuable to the table, and these could be your future coworkers. Take a break and make friends!",Make the effort to make friends early on! Finding your core group of friends is very helpful when getting through the tough times.,2020
YouTube statquest is your friend,Give your 200% for these 10 months. It will be worth it!,"There is a lot of new information being thrown at you. Apply rule of 3 when it comes to the material: Review the slides before class, pay attention during class and go over the video recordings. This way you will understand the material. ","Have fun, Challenge your self and make great relationships!",2020
"If Summer 2 is easy or a review for you, use your downtime to learn more about other programming languages (I recommend Python because it's not used much for instruction in later courses). I promise the course load & difficulty will pick up so taking advantage of the additional time early on will be well worth the effort. ","Get to know your classmates & spend time with them. When things ramp up in Fall 2-3 & then again during the job search in Spring, it's really nice to have close friends to encourage & support you if you're struggling. If you have something in common with people, start a Slack channel & get invested with that group of people. Start a Bible study, an intramural team, a game night, etc. These relationships with people that are going through this same, strange process with you are so important.","Keep an open mind during information sessions. There were some information sessions that I thought were so boring & the people weren't the most exciting but then I'd interview with them & really love them. We get nervous when we present & sometimes they do too! I know it's hard to not judge a company by their information session but keep in mind the company & the team are usually more than the people who come to present. On the other hand, remember that really large companies may have really flashy giveaways & presentations but that doesn't mean they're better than the smaller companies. All of the companies that come through are great & any/all would be lucky to have you!","Trust the process. I promise you'll get sick & tired of hearing this but it's SO true. There is a reason why this program & the alum are so successful -- the process works. It's not easy, sometimes it's stressful, some aspects may be unknown/confusing but ultimately the staff/faculty care so much about you & want nothing but for you to succeed. Take advantage of the support provided at the Institute & also of the alum (especially recent grads), we know what you're going through & want to be as helpful as possible. (Also, for a fun task, if anyone's up for it, start tallying how many times you hear ""Trust the process"" now & keep the tally going all 10 months. It'd be interesting to see how many times it's actually said)",2020
"Stop comparing yourself to others. Everyone is here for a reason, and YOUR journey should be your focus.",It can be easy to complain about the things out of your control that you don’t like about the program. Focus on what you can control.,,,2020
Learn Python,Take the soft skill development seriously,Build relationships with classmates,,2020
Make sure you know how to do each homework and you understand the concepts. They could help you in your practicum project later in the curriculum or help you answer an interview question.,Do not compare yourself to your peers. Everyone's journey is different and everyone comes into the program with a different background. You are here for a reason :),,,2020
You don't have to do everything perfectly in order to grow. Get everything you can to a working state before you try and perfect things. ,Team leads don't know everything! They may have been selected to lead a team but they are still going through the same courses and materials as everyone else on the team. Be sure to share your own ideas and inputs and don't be afraid to speak up. ,,,2020
Take advantage of your DataCamp subscription ,Your classmates are your best resource ,Trust April ,,2020
Study hard during summer and fall semesters. Those concepts are key and will be asked during interviews. ,"Make friends, be proactive and reach out to people to hang out. It is a very intensive and at times stressful program, don't forget that there is life outside of the program. Stay in touch with family, friends, and take care of yourself. ","When connecting with faculty or classmates over zoom, remember to use video as often as possible. It really makes a difference when you can see the faces. Also, be an active participant in the calls, share your thoughts and answer questions whenever possible. ","Do not allow for homeworks and quizes to pile up during Fall semester. Try doing them on the day they are assigned or quickly after. There will be a lot going on in the Fall, so stay organized! Cancel Netflix till winter break ;)

Be a great team member by offering help to others, volunteering for tasks (especially those you need to improve on), push yourself out of your comfort zone and taking initiate (do things nobody asked you for, but are needed). 

Start connecting with alumns early on, build relationships. It will be much easier to reach out to people during job search season.",2020
"Each module you will get a lot of feedback from your peers. All of the feedback from previous modules will be available to you throughout the program. In general, the feedback will fluctuate from module to module, but recurring feedback will begin to occur after a few modules. After each module, I recommend that you review all of you previous feedback and identify recurring patterns. This will allow you to identify the things that you need to improve on the most. ","Communication is key. There are going to be times when you get burnt out from the work. That is ok, you need times where you rest to stay effective, but it is important that you make sure your teammates know that so that they can adjust expectations and workload accordingly. ","Don't forget to stop and smell the roses. This is different for everyone, but it involves doing something that you enjoy and that makes you feel good. This could involve going out for a beer, doing your favorite hobby, or just having great conversation with your classmates. ",,2020
"Take note in the information session, do not rely on your memory, by the end all will be a blur",Have fun along the way and enjoy those very special 10 months,Make friends from this program,,2020
"Have a practicum journal that documents challenges/accomplishments you've had and contributions you've made. This is something that could be super helpful that I wish I did. It can help you reflect on things, and being able to talk about your practicum and have stories ready is really important for interviews (and this way you'll have plenty of materials). ",Take the time to reach out to alums who come to info sessions especially for companies that you're interested in. Whether you get to interview with a company is often associated with if you've demonstrated interest.,"Start networking early. Identify the companies/industries that interest you or just curious about, and reach out to alums in those places to set up informational interview and establish connections. ",,2020
"Do not worry that you have not mastered each skill/technique, understand the basics and mastery will come.",Time management is paramount; there are going to be a lot of requirements to manage all at once.,"Connect with classmates; you can learn as much from them as you do the curriculum, and it is good to have people in which to rely. ",,2020
Find your support! Be vulnerable about things that are challenging for you and support others when they are vulnerable with you. ,Don't compare yourself to others! Your unique path is what brought you to the IAA. Your path through the IAA will be unique to you as well!,Challenge yourself to learn python!,,2020
"From the beginning type code from scratch for every assignment, rather than copying and pasting from starter/template code helps you recall syntax and better prepare for SAS certifications.",Skim the slides before the lecture to see what the new terms are and get some sense about it. Then listening in class will be more useful.,Take notes during information sessions so you can use phrases and insights when writing cover letters and interviewing later on.,When you are tired everything is worse. SLEEP,2020
Go to social events if you have any desire. Don't just say you'll go to the next one. ,,,,2020
"Don't be too disappointed if you're not chosen to be a team lead! You'll have more time and energy to learn the material more in-depth. Everyone out of this program will eventually have the opportunity for a formal leadership position after graduation, so don't fret :) ","Become a specialist in either R or Python as quickly as you can -- it'll make your life much easier. If you have little to no programming experience coming in, and if you don't have enough time to study on your own during the summer, don't worry.  Fall 1 and 2 may be little more difficult, but you'll still come out a better programmer either way!","If you ever copy and paste code from online and use it, do your absolute best to understand how and why it works. This will develop your programming skills a lot faster and you'll be happy you did!","Make an account on StackOverflow so you can use the dark theme. Actually, use the dark theme whenever possible on your computer. People will think you're a bad ass. :-) (in all seriousness, it's a lot easier on your eyes...)",2020
"Pace yourself. Even though it's only ten months, the program is a marathon, not a sprint. You'll want to feel energized in the spring when it's time for interviews and the final push for practicum. Work hard, but don't overdo it or you might experience some burn out at the worst possible time. ","Try to take time to take a step back and enjoy the experience. You only do this once, and it will be over before you know it.  ","Don't be afraid to ask for help. Your classmates, your teammates, the faculty and the staff are all willing to help you out, but you need to ask. This is especially true for the practicum -take time to go to faculty office hours and ask them questions 1-on-1, I often found that to be more valuable than just waiting until the next faculty review meeting. ",,2020
During interview season support each other through talking and connecting outside of school. ,Look up Julia it might replace Python. ,You are not just getting a degree you are getting a community. Connect with alumni and current students. Work that network during the interview season and use LinkedIn to is fullest. You can search for managers and recruiters from a company you would like to work for on LinkedIn. It is possible to get an interview without submitting an application. Get your name out there and talk to as many people as you can. ,,2020
"Networking is very important during the job searching process, and it's not that hard. Once you start doing it, it will come more and more natural to you.","Enjoy your time in the MSA program with your fellow classmates, time flies faster than you imagine.",Don't compare yourself too much with your fellow classmates since everyone comes from different backgrounds and everyone has their unique talent.,,2020
Don’t get lost in the weeds. ,Be cognizant and aware of analysis paralysis. ,Time management is key. ,,2020
"It will get very busy and stressful, so don't forget to make time to hang out with and get to know your classmates. Stress relievers are important too!","If you are still in quarantine, have a routine and stick to it, and don't forget to do some form of exercise every day.","Your practicum team will be like your family for 8 months. If you run into problems with anyone, it's better to talk it out than to keep it bottled up.",,2020
"Networking is very important during the job searching process, and it's not that hard. Once start doing it, it will come more and more natural to you.","Enjoy your time in the MSA program with your fellow classmates, time flies faster than you imagine.",Don't compare yourself too much with your fellow classmates since everyone comes from different backgrounds and everyone has their unique talent.,,2020
People will try to debate if Fall 2 or Fall 3 is harder. They're both hard. The thing to remember is that you will get through it and you will come out better because of it.,Take good notes at every employer session. You will want to refer to them during interview season.,,,2019
Put effort into researching the companies that you're interviewing with. Interviews will pile up and a lot of students overlook this aspect of the interview process. This will really help you stand out if you're asked what you know about the company or why you want to work there. ,"There's a common misconception that international students receive significantly fewer interviews (when I joined I heard 2-3 first round interviews). This is not true and as long as you're not super selective, you should have around the median number of first round interviews. ",Have fun! The program flies by and you should take advantage of the activities and trips organized by the IAA students. ,,2019
Figure out what sets you apart and focus on it when going through the process. ,Take time to enjoy yourself and get to know other students in the program.,Be confident in your abilities. You are the only one limiting your potential growth.,,2019
"Networking with potential employers after an info session (LinkedIn, setting up phone calls 1-1, etc.) is much more important and impactful than anything that you can do during one. Enjoy yourself during the session and don't worry if you aren't one of the ones who gets to ask a question or hand out their card to six people. ","You will ace your interviews as long as you know your practicum project inside and out, make a genuine effort to learn class material, appear to have a life outside of school, and have a number of good questions to ask at the end. ",,,2019
Get the Macadamia Nut flavored syrup at the PCJ down the street- sometimes they give it to you for free since no one ever orders it (and it's good).,the hotdogs at the c-store are way cheaper than the food trucks,,,2019
Socialize with your classmates outside the institute to get to know them better personally.,"Keep in touch with the alumni from the program. Especially the ones from the current batches before you. They can help you get a good referral into the companies you are interested in, particularly for off campus jobs.","Take feedback from coaching seriously, it'll help you grow personally and become a good team player.",,2019
"Keep your computer files organized. You will receive a lot of notes, code etc. ",Take communication training seriously. A big part of analytics is communicating your technical findings in an understandable manner.,"Work hard, but also schedule time for social events with your practicum team. It is important to get to know your teammates.",,2019
"The only expectation you should come into this program with is that you are going to work very hard. Otherwise, remain as open as possible to learning new things and taking advantage of incredible opportunities. You may have a particular company in mind right now that you want to pursue; I almost guarantee that you will not end up working there and that is absolutely fine. Leave any preconceived biases about companies, job descriptions, and content at the door and you will surprise yourself.   ","While there is a ton of work and you can always learn more, take the time to get to know your classmates outside of school. Everyone in the program is really smart and fun to be around. Take a beach weekend, ski trip, Eno quarry day, paintball excursion, or anything that sounds fun. If you put the effort in, you will make several really good friends. Also, never a bad thing to expand your network in the data science field. ","Volunteer for tasks in your homework or practicum team that you are the weakest in. This is a great opportunity to learn in a safe space and improve what you need to learn. Your teammates that are more experienced in these areas will not mind you struggling slowly with a task they could do in 30 minutes, so long as you put in the effort. ",,2019
